ABE ABG ACS ACX ANA BKT BBVA BME BTO CRI ELE ENG FCC FER GAM GAS GRF IBE IBLA IBR IDR ITX MAP POP REE REP SAB SAN MTS SYV TEF TL5 TRE OHL
 0.0093457944  0.0008361204 -0.0192170819 -0.0030706244  0.0109635766  0.0232172471  0.0014326648 -0.0476190476  0.0158730159  0.0165289256 -0.0066869301 -0.0049140049  0.0140845070 -0.0266524520  0.0216172938 -0.0064365126  0.0000000000  0.0054249548 -0.0268817204 -0.0063492063 -0.0013860014  0.0212689257 -0.0050000000 -0.0185185185  0.0023434884 -0.0219033233  0.0000000000 -0.0056390977 -0.0582191781  0.0584518167 -0.0081499593 -0.0150250417  0.0104712042  0.0093240093
-0.0109243697 -0.0132013201 -0.0143809190 -0.0578592093 -0.0113212092  0.0050000000 -0.0292072323 -0.0141479100 -0.0247678019 -0.0358565737  0.0378548896 -0.0153225806 -0.0360313316 -0.0115911486 -0.0317829457 -0.0398876404  0.0038167939 -0.0315236427 -0.0312500000 -0.0125391850 -0.0116438356 -0.0218617772 -0.0147783251 -0.0240963855 -0.0135402906 -0.0112023898 -0.0588235294 -0.0238532110 -0.0778947368 -0.0201238390 -0.0368916797 -0.0260162602  0.0015731515 -0.0126582278
 0.0249784668  0.0314893617  0.0149519402  0.0126953125 -0.0128403281  0.0169491525  0.0779610195  0.0183366077  0.0303030303  0.0120967742  0.0044359949  0.0307564422  0.0368164591  0.0457300275  0.0573770492  0.0177244140  0.0100231303  0.0160142349  0.0378378378 -0.0062305296  0.0000000000  0.0234572357  0.0684210526  0.0709677419 -0.0101340307  0.0190258752  0.0208877285  0.1330561331  0.0969976905  0.0572831424  0.0183852918  0.0182119205  0.0005246590  0.0382317802
 0.0166374781 -0.0101095198 -0.0357020254  0.0029382958  0.0405789929  0.0051107325  0.0293209877  0.0275908479  0.0278688525  0.0122448980 -0.0229102167  0.0041736227 -0.0043126685 -0.0092794760 -0.0105433901 -0.0045532157 -0.0262762763  0.0000000000  0.0054347826  0.0000000000  0.0075914424 -0.0057409401 -0.0256410256  0.0130718954  0.0109054858  0.0022883295  0.0000000000  0.0147679325  0.0309523810 -0.0270700637 -0.0294802172  0.0378006873  0.0187065740  0.0145454545
 0.0279027903 -0.0058626466  0.0717439294  0.0591286307  0.0319162518  0.0463458111  0.0536585366  0.0241212957  0.0099337748  0.0000000000  0.0081148564 -0.0074565037  0.0027027027  0.0373725934  0.0466893039  0.0103507763 -0.0205882353  0.0071684588 -0.0366492147  0.0031250000  0.0020746888  0.0068641618  0.0483870968  0.0699300699 -0.0222940226  0.0322834646  0.0186170213  0.0580357143  0.0873786408  0.0644067797  0.0054602184  0.0000000000  0.0493550196  0.0012135922
-0.0245829675  0.0127226463 -0.0051244510 -0.0242914980  0.0012782820 -0.0105820106 -0.0016233766 -0.0013764625 -0.0226537217  0.0040983607  0.0532544379 -0.0297427653 -0.0096359743 -0.0286028603 -0.0025402202  0.0000000000 -0.0029325513  0.0145454545 -0.0103626943  0.0457516340 -0.0013812155  0.0274684484 -0.0210526316 -0.0337837838 -0.0149586251 -0.0031397174 -0.0259067358  0.0000000000 -0.0367830424 -0.0166666667  0.0078616352 -0.0300000000  0.0176940639 -0.0131736527
 0.0088573959 -0.0328137818 -0.0186781609 -0.0332681018 -0.0220027503 -0.0052631579 -0.0096463023 -0.0208894879  0.0231788079 -0.0161290323 -0.0299744898  0.0113821138 -0.0183920126 -0.0146341463 -0.0100586756 -0.0224845419  0.0022042616  0.0018214936 -0.0153061224  0.0065789474 -0.0236008092 -0.0055370986 -0.0404040404 -0.0033670034 -0.0060107561  0.0039401103 -0.0102564103 -0.0066518847 -0.0110974106  0.0169491525 -0.0139534884  0.0016694491 -0.0162829871 -0.0164899882
-0.0070360598  0.0295608108  0.0003593245  0.0059055118  0.0334625323  0.0516605166 -0.0189274448 -0.0505438260 -0.0065789474  0.0163934426 -0.0867792662 -0.0383111806  0.0111583422  0.0159691630 -0.0148637490 -0.0331521739  0.0164301718 -0.0143626571  0.0261780105 -0.0097719870  0.0451021846  0.0308219178  0.0206185567  0.0033783784 -0.0321494182 -0.0047058824 -0.0051020408  0.0044543430  0.0150187735 -0.0649762282 -0.0107361963 -0.0756172840 -0.0066926938 -0.0035211268
-0.0206718346 -0.0520416333 -0.0092559630 -0.0415094340 -0.0135100688 -0.0269299820 -0.0579494799 -0.0255610973 -0.0829562594  0.0124481328  0.0023350846 -0.0244088482 -0.0363543267 -0.0391534392 -0.0449526814 -0.0048674959 -0.0029784066  0.0201465201 -0.0682926829  0.0165562914 -0.0300751880 -0.0334681868 -0.0202020202 -0.0451612903 -0.0015285845 -0.0252293578 -0.0439024390 -0.0761316872  0.0000000000 -0.0094191523 -0.0068545316 -0.0540145985 -0.0159165752 -0.0501672241
-0.0059931507 -0.0095162569  0.0188610809  0.0037878788 -0.0082164075 -0.0445969125 -0.0358166189  0.0012484395 -0.0568990043 -0.0282258065 -0.0040697674 -0.0267260579  0.0035971223 -0.0302719343  0.0055511499 -0.0016198704  0.0112951807  0.0073800738  0.0098522167 -0.0194805195 -0.0013651877 -0.0119912791 -0.1040723982 -0.0432098765  0.0052243393 -0.0053231939 -0.0552995392 -0.0489236791 -0.0442583732 -0.0139318885  0.0022900763  0.0029282577  0.0230207748 -0.0033333333
